CustomerContactId;status code;status name;details;milliseconds spent
1244072;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23244 with a balance of 384.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23244 with a balance of 384.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,2565"
1244205;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23289 with a balance of 598.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23289 with a balance of 598.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,7424"
1244390;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23334 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23334 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1589"
1124482;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 732 with a balance of 1410.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 732 with a balance of 1410.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,1919"
1124486;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 733 with a balance of 1660.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 733 with a balance of 1660.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,9498"
1125299;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 1173 with a balance of -0.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 1173 with a balance of -0.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,4621"
1126270;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 1422 with a balance of 240.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 1422 with a balance of 240.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,8282"
1245996;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23670 with a balance of 3300.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23670 with a balance of 3300.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,6901"
1246392;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23806 with a balance of 717.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23806 with a balance of 717.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1601"
1246714;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23952 with a balance of 95.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23952 with a balance of 95.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"28,309"
1246716;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23954 with a balance of 285.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23954 with a balance of 285.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"4,0936"
1246810;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23990 with a balance of 95.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23990 with a balance of 95.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0053"
1246884;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 24029 with a balance of 199.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 24029 with a balance of 199.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"4,9271"
1247061;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 24127 with a balance of 882.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 24127 with a balance of 882.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"5,1332"
1247251;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 24240 with a balance of 395.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 24240 with a balance of 395.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"14,0131"
